fold,model,version,auc,bw
0,logistic,declared,0.7,
0,logistic,strict,0.691604938271605,
0,xgboost,declared,0.7649382716049382,
0,xgboost,strict,0.7432098765432098,
0,gwlr,declared,0.6971604938271604,500.0
0,gwlr,strict,0.6082716049382717,500.0
1,logistic,declared,0.794679496250177,
1,logistic,strict,0.7523701712183388,
1,xgboost,declared,0.7966605348804302,
1,xgboost,strict,0.8459034951181548,
1,gwlr,declared,0.7775576623744164,800.0
1,gwlr,strict,0.7458610442903637,800.0
2,logistic,declared,0.6538181818181819,
2,logistic,strict,0.6295757575757576,
2,xgboost,declared,0.5541818181818181,
2,xgboost,strict,0.632969696969697,
2,gwlr,declared,0.6281212121212121,400.0
2,gwlr,strict,0.5515151515151515,400.0
3,logistic,declared,0.6766581632653061,
3,logistic,strict,0.6992346938775511,
3,xgboost,declared,0.6595663265306122,
3,xgboost,strict,0.7987244897959184,
3,gwlr,declared,0.6062500000000001,600.0
3,gwlr,strict,0.7698979591836734,600.0
4,logistic,declared,0.7494934143870314,
4,logistic,strict,0.7074468085106382,
4,xgboost,declared,0.7988855116514691,
4,xgboost,strict,0.7373353596757851,
4,gwlr,declared,0.7707700101317122,500.0
4,gwlr,strict,0.506079027355623,500.0
