excl_m,seed,n_controls,attempts,AUC,McFadden_R2,office_count_coef,office_count_p,office_count_OR,residential_count_coef,residential_count_p,residential_count_OR,mall_count_coef,mall_count_p,mall_count_OR,metro_station_count_coef,metro_station_count_p,metro_station_count_OR,dist_to_nearest_luckin_coef,dist_to_nearest_luckin_p,dist_to_nearest_luckin_OR,dist_to_nearest_starbucks_coef,dist_to_nearest_starbucks_p,dist_to_nearest_starbucks_OR,dist_to_nearest_metro_exit_coef,dist_to_nearest_metro_exit_p,dist_to_nearest_metro_exit_OR
0,42,880,2752,0.75,0.117,0.0528,0.0,1.0543,-0.0037,0.516,0.9963,0.0967,0.0174,1.1015,0.1915,0.2842,1.2111,0.2393,0.0914,1.2703,-0.5631,0.0003,0.5695,0.0435,0.7299,1.0445
0,123,880,2806,0.7608,0.1358,0.0614,0.0,1.0633,-0.001,0.8639,0.999,0.1587,0.0004,1.172,0.1405,0.4305,1.1508,0.2903,0.0303,1.3368,-0.5189,0.0006,0.5952,0.0912,0.4809,1.0955
0,2026,880,2694,0.7527,0.1257,0.0579,0.0,1.0596,0.0006,0.9102,1.0006,0.059,0.1416,1.0608,0.1877,0.2917,1.2065,0.2856,0.0459,1.3306,-0.6599,0.0,0.5169,0.0633,0.617,1.0654
50,42,880,2817,0.7536,0.1208,0.0523,0.0,1.0537,-0.0033,0.5644,0.9967,0.1012,0.0138,1.1065,0.2077,0.2486,1.2308,0.1847,0.2,1.2029,-0.5518,0.0004,0.5759,0.063,0.6179,1.065
50,123,880,2832,0.7624,0.1369,0.061,0.0,1.0629,-0.0009,0.8739,0.9991,0.1574,0.0005,1.1704,0.1468,0.4093,1.1581,0.2681,0.0475,1.3075,-0.5202,0.0006,0.5944,0.0979,0.4497,1.1029
50,2026,880,2738,0.7557,0.1282,0.0581,0.0,1.0598,0.001,0.8582,1.001,0.0589,0.1419,1.0606,0.189,0.2865,1.2081,0.258,0.0724,1.2943,-0.6559,0.0,0.519,0.0743,0.5586,1.0771
100,42,880,2956,0.7664,0.1378,0.0603,0.0,1.0621,-0.0026,0.6484,0.9974,0.1006,0.0152,1.1058,0.2081,0.2531,1.2313,0.1013,0.4986,1.1066,-0.5027,0.0014,0.6049,0.09,0.485,1.0942
100,123,880,2940,0.767,0.1428,0.065,0.0,1.0672,-0.0022,0.7107,0.9978,0.1548,0.0006,1.1674,0.168,0.3497,1.1829,0.221,0.1072,1.2474,-0.4833,0.0015,0.6168,0.0984,0.4543,1.1034
100,2026,880,2834,0.7648,0.1375,0.06,0.0,1.0618,-0.0002,0.9753,0.9998,0.0666,0.1008,1.0689,0.1771,0.312,1.1937,0.1726,0.2384,1.1884,-0.6464,0.0,0.5239,0.0982,0.4458,1.1032
200,42,880,3469,0.8011,0.1991,0.0818,0.0,1.0852,-0.0068,0.2657,0.9932,0.1267,0.0043,1.1351,0.1627,0.3859,1.1766,-0.1522,0.3726,0.8588,-0.4713,0.004,0.6242,0.1609,0.2359,1.1745
200,123,880,3542,0.8008,0.1993,0.0753,0.0,1.0782,-0.0019,0.7635,0.9981,0.2176,0.0,1.2431,0.1097,0.5459,1.116,-0.086,0.5807,0.9176,-0.414,0.0075,0.661,0.1598,0.2485,1.1733
200,2026,880,3386,0.8051,0.2012,0.0777,0.0,1.0808,-0.0056,0.3596,0.9944,0.0781,0.065,1.0813,0.091,0.6201,1.0953,-0.1764,0.3057,0.8383,-0.6507,0.0001,0.5217,0.1646,0.2339,1.1789
